Instancia 			 Tiempo de solucion 	   Nodos expandidos       Distancia	
-----------------------------------------------------------------------------
Resultados de IDA*
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0  	 True 	 93.555145 	 218057935 		 66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15  	 True 	 0.458089 	 1187366 		 45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5  	 True 	 8.145329 	 20904918 		 57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3  	 True 	 110.326416 	 255283767 		 56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1  	 True 	 13.454743 	 27832432 		 51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14  	 True 	 0.733652 	 1639412 		 47
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2  	 True 	 246.290848 	 516147307 		 61
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9  	 True 	 6.978408 	 15210353 		 50
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9  	 True 	 4.185870 	 8879561 		 51
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3  	 True 	 11.230810 	 24592290 		 53
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11  	 True 	 9.976765 	 21148482 		 52
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14  	 True 	 0.423660 	 852925 		 44
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6  	 True 	 153.781204 	 341376426 		 56
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13  	 True 	 0.349427 	 791788 		 49
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5  	 True 	 0.188535 	 405100 		 56
14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11  	 True 	 2.138726 	 4630562 		 48
15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4  	 True 	 5.263672 	 11514994 		 57
0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7  	 True 	 2.047036 	 4572520 		 54
3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11  	 True 	 0.922555 	 2072197 		 53
0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15  	 True 	 0.105365 	 213782 		 42
11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2  	 True 	 4.027154 	 8871156 		 57
13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7  	 True 	 2.437747 	 5481910 		 53
14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0  	 True 	 54.138557 	 115969328 		 62
12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8  	 True 	 1.800074 	 3949509 		 49
15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2  	 True 	 21.369991 	 46220882 		 55
4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15  	 True 	 0.154607 	 327909 		 44
6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15  	 True 	 0.134345 	 281317 		 45
9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15  	 True 	 7.804738 	 15868897 		 52
15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4  - estado interrumpido - sobrepasa los 15 min
11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12  	 True 	 5.443533 	 12132695 		 54
5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3  	 True 	 0.850625 	 1982900 		 50
9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4  	 True 	 47.248707 	 100062235 		 57
3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1  	 True 	 23.573296 	 46814666 		 57
13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15  	 True 	 0.293373 	 594747 		 46
5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2  	 True 	 0.023881 	 49094 		 53
4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14  	 True 	 0.144744 	 299179 		 50
1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10  	 True 	 1.094027 	 2326937 		 49
9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3  	 True 	 0.225454 	 456016 		 44
0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6  	 True 	 37.977463 	 76682115 		 54
7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8  	 True 	 4.461887 	 9404197 		 57
11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15  	 True 	 13.202124 	 26757184 		 54

